prompt_id,family_id,target_clauses,model_response,auditor_clause_i_score,auditor_clause_j_score,scorer_clause_i_score,scorer_clause_j_score,orientation_sign_match,notes
F_C2_C7_D2_V0,F_C2_C7_D2,C2|C7,,,,,,,
F_C2_C7_D3_V0,F_C2_C7_D3,C2|C7,,,,,,,
F_C2_C7_D4_V0,F_C2_C7_D4,C2|C7,,,,,,,
F_C2_C7_T1_V0,F_C2_C7_T1,C2|C7,,,,,,,
F_C2_C7_T2_V0,F_C2_C7_T2,C2|C7,,,,,,,
F_C2_C8_D1_V0,F_C2_C8_D1,C2|C8,,,,,,,
F_C2_C8_D2_V0,F_C2_C8_D2,C2|C8,,,,,,,
F_C2_C8_D3_V0,F_C2_C8_D3,C2|C8,,,,,,,
F_C2_C8_D4_V0,F_C2_C8_D4,C2|C8,,,,,,,
F_C2_C8_T1_V0,F_C2_C8_T1,C2|C8,,,,,,,
F_C2_C8_T2_V0,F_C2_C8_T2,C2|C8,,,,,,,
F_C3_C4_D1_V0,F_C3_C4_D1,C3|C4,,,,,,,
F_C3_C4_D2_V0,F_C3_C4_D2,C3|C4,,,,,,,
